Date,Open,High,Low,Close,Adj Close,Volume
02-01-2001,1320.280029,1320.280029,1276.050049,1283.27002,1283.27002,1129400000
03-01-2001,1283.27002,1347.76001,1274.619995,1347.560059,1347.560059,1880700000
04-01-2001,1347.560059,1350.23999,1329.140015,1333.339966,1333.339966,2131000000
05-01-2001,1333.339966,1334.77002,1294.949951,1298.349976,1298.349976,1430800000
08-01-2001,1298.349976,1298.349976,1276.290039,1295.859985,1295.859985,1115500000
09-01-2001,1295.859985,1311.719971,1295.140015,1300.800049,1300.800049,1191300000
10-01-2001,1300.800049,1313.76001,1287.280029,1313.27002,1313.27002,1296500000
11-01-2001,1313.27002,1332.189941,1309.719971,1326.819946,1326.819946,1411200000
12-01-2001,1326.819946,1333.209961,1311.589966,1318.550049,1318.550049,1276000000
16-01-2001,1318.319946,1327.810059,1313.329956,1326.650024,1326.650024,1205700000
17-01-2001,1326.650024,1346.920044,1325.410034,1329.469971,1329.469971,1349100000
18-01-2001,1329.890015,1352.709961,1327.410034,1347.969971,1347.969971,1445000000
19-01-2001,1347.969971,1354.550049,1336.73999,1342.540039,1342.540039,1407800000
22-01-2001,1342.540039,1353.619995,1333.839966,1342.900024,1342.900024,1164000000
23-01-2001,1342.900024,1362.900024,1339.630005,1360.400024,1360.400024,1232600000
24-01-2001,1360.400024,1369.75,1357.280029,1364.300049,1364.300049,1309000000
25-01-2001,1364.300049,1367.349976,1354.630005,1357.51001,1357.51001,1258000000
26-01-2001,1357.51001,1357.51001,1342.75,1354.949951,1354.949951,1098000000
29-01-2001,1354.920044,1365.540039,1350.359985,1364.170044,1364.170044,1053100000
30-01-2001,1364.170044,1375.680054,1356.199951,1373.72998,1373.72998,1149800000
31-01-2001,1373.72998,1383.369995,1364.660034,1366.01001,1366.01001,1295300000
01-02-2001,1366.01001,1373.5,1359.339966,1373.469971,1373.469971,1118800000
02-02-2001,1373.469971,1376.380005,1348.719971,1349.469971,1349.469971,1048400000
05-02-2001,1349.469971,1354.560059,1344.47998,1354.310059,1354.310059,1013000000
06-02-2001,1354.310059,1363.550049,1350.040039,1352.26001,1352.26001,1059600000
07-02-2001,1352.26001,1352.26001,1334.26001,1340.890015,1340.890015,1158300000
08-02-2001,1341.099976,1350.319946,1332.420044,1332.530029,1332.530029,1107200000
09-02-2001,1332.530029,1332.530029,1309.97998,1314.76001,1314.76001,1075500000
12-02-2001,1314.76001,1330.959961,1313.640015,1330.310059,1330.310059,1039100000
13-02-2001,1330.310059,1336.619995,1317.51001,1318.800049,1318.800049,1075200000
14-02-2001,1318.800049,1320.72998,1304.719971,1315.920044,1315.920044,1150300000
15-02-2001,1315.920044,1331.290039,1315.920044,1326.609985,1326.609985,1153700000
16-02-2001,1326.609985,1326.609985,1293.180054,1301.530029,1301.530029,1257200000
20-02-2001,1301.530029,1307.160034,1278.439941,1278.939941,1278.939941,1112200000
21-02-2001,1278.939941,1282.969971,1253.160034,1255.27002,1255.27002,1208500000
22-02-2001,1255.27002,1259.939941,1228.329956,1252.819946,1252.819946,1365900000
23-02-2001,1252.819946,1252.819946,1215.439941,1245.859985,1245.859985,1231300000
26-02-2001,1245.859985,1267.689941,1241.709961,1267.650024,1267.650024,1130800000
27-02-2001,1267.650024,1272.76001,1252.26001,1257.939941,1257.939941,1114100000
28-02-2001,1257.939941,1263.469971,1229.650024,1239.939941,1239.939941,1225300000
01-03-2001,1239.939941,1241.359985,1214.5,1241.22998,1241.22998,1294900000
02-03-2001,1241.22998,1251.01001,1219.73999,1234.180054,1234.180054,1294000000
05-03-2001,1234.180054,1242.550049,1234.040039,1241.410034,1241.410034,929200000
06-03-2001,1241.410034,1267.420044,1241.410034,1253.800049,1253.800049,1091800000
07-03-2001,1253.800049,1263.859985,1253.800049,1261.890015,1261.890015,1132200000
08-03-2001,1261.890015,1266.5,1257.599976,1264.73999,1264.73999,1114100000
09-03-2001,1264.73999,1264.73999,1228.420044,1233.420044,1233.420044,1085900000
12-03-2001,1233.420044,1233.420044,1176.780029,1180.160034,1180.160034,1229000000
13-03-2001,1180.160034,1197.829956,1171.5,1197.660034,1197.660034,1360900000
14-03-2001,1197.660034,1197.660034,1155.349976,1166.709961,1166.709961,1397400000
15-03-2001,1166.709961,1182.040039,1166.709961,1173.560059,1173.560059,1259500000
16-03-2001,1173.560059,1173.560059,1148.640015,1150.530029,1150.530029,1543560000
19-03-2001,1150.530029,1173.5,1147.180054,1170.810059,1170.810059,1126200000
20-03-2001,1170.810059,1180.560059,1142.189941,1142.619995,1142.619995,1235900000
21-03-2001,1142.619995,1149.390015,1118.73999,1122.140015,1122.140015,1346300000
22-03-2001,1122.140015,1124.27002,1081.189941,1117.579956,1117.579956,1723950000
23-03-2001,1117.579956,1141.829956,1117.579956,1139.829956,1139.829956,1364900000
26-03-2001,1139.829956,1160.02002,1139.829956,1152.689941,1152.689941,1114000000
27-03-2001,1152.689941,1183.349976,1150.959961,1182.170044,1182.170044,1314200000
28-03-2001,1182.170044,1182.170044,1147.829956,1153.290039,1153.290039,1333400000
29-03-2001,1153.290039,1161.689941,1136.26001,1147.949951,1147.949951,1234500000
30-03-2001,1147.949951,1162.800049,1143.829956,1160.329956,1160.329956,1280800000
02-04-2001,1160.329956,1169.51001,1137.51001,1145.869995,1145.869995,1254900000
03-04-2001,1145.869995,1145.869995,1100.189941,1106.459961,1106.459961,1386100000
04-04-2001,1106.459961,1117.5,1091.98999,1103.25,1103.25,1425590000
05-04-2001,1103.25,1151.469971,1103.25,1151.439941,1151.439941,1368000000
